Equipo1,Equipo2,Partidos,Ganados,Empatados,Perdidos,Goles
Empoli FC,AS Roma,38,6,6,26,32:72
Empoli FC,Atalanta,32,6,11,15,24:42
Empoli FC,Bologna FC,26,8,9,9,29:34
Empoli FC,Cagliari Calcio,25,12,6,7,37:33
Empoli FC,Como 1907,13,3,5,5,10:12
Empoli FC,Genoa CFC,32,8,14,10,31:39
Empoli FC,Hellas Verona,22,8,7,7,22:20
Empoli FC,Inter,41,4,3,34,28:85
Empoli FC,Juventus,35,5,5,24,26:72
Empoli FC,Lazio Roma,32,4,7,21,27:62
Empoli FC,Parma Calcio 1913,26,8,5,13,31:39
Empoli FC,SSC Napoli,29,10,6,13,37:46
Empoli FC,Torino FC,42,15,15,12,44:41
Empoli FC,Udinese Calcio,33,7,12,14,29:45
Empoli FC,US Lecce,22,5,10,6,25:25
Empoli FC,Venezia FC,21,4,9,8,29:32
Cagliari Calcio,AC Milan,87,8,30,49,67:143
Cagliari Calcio,AC Monza,8,3,3,2,10:7
Cagliari Calcio,ACF Fiorentina,88,24,25,39,87:119
Cagliari Calcio,AS Roma,92,21,29,40,106:140
Cagliari Calcio,Atalanta,68,25,13,30,80:85
Cagliari Calcio,Bologna FC,70,22,22,26,76:84
Cagliari Calcio,Como 1907,20,6,6,8,22:26
Cagliari Calcio,Empoli FC,25,7,6,12,33:37
Cagliari Calcio,Genoa CFC,65,25,18,22,91:85
Cagliari Calcio,Hellas Verona,46,17,13,16,56:53
Cagliari Calcio,Inter,98,15,31,51,96:179
Cagliari Calcio,Juventus,93,14,30,49,74:139
Cagliari Calcio,Lazio Roma,78,18,17,43,73:119
Cagliari Calcio,Parma Calcio 1913,55,18,16,21,66:76
Cagliari Calcio,SSC Napoli,83,14,31,38,63:119
Cagliari Calcio,Torino FC,83,24,28,31,88:101
Cagliari Calcio,Udinese Calcio,61,14,18,29,69:100
Cagliari Calcio,US Lecce,26,8,9,9,31:34
Cagliari Calcio,Venezia FC,23,6,10,7,27:29
Genoa CFC,AC Milan,115,21,36,58,108:179
Genoa CFC,AC Monza,16,9,3,4,29:15
